id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	CD4+ Tex-N|CD4+ Tex-N	CD4+ Tex-N|CD4+ Tex-Y	CD4+ Tex-N|GZMK+ CD8+ Tem1-N	CD4+ Tex-N|GZMK+ CD8+ Tem1-Y	CD4+ Tex-N|S100A12+ Mac-N	CD4+ Tex-N|S100A12+ Mac-Y	CD4+ Tex-N|Treg-N	CD4+ Tex-N|Treg-Y	CD4+ Tex-Y|CD4+ Tex-N	CD4+ Tex-Y|CD4+ Tex-Y	CD4+ Tex-Y|GZMK+ CD8+ Tem1-N	CD4+ Tex-Y|GZMK+ CD8+ Tem1-Y	CD4+ Tex-Y|S100A12+ Mac-N	CD4+ Tex-Y|S100A12+ Mac-Y	CD4+ Tex-Y|Treg-N	CD4+ Tex-Y|Treg-Y	GZMK+ CD8+ Tem1-N|CD4+ Tex-N	GZMK+ CD8+ Tem1-N|CD4+ Tex-Y	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-N|S100A12+ Mac-N	GZMK+ CD8+ Tem1-N|S100A12+ Mac-Y	GZMK+ CD8+ Tem1-N|Treg-N	GZMK+ CD8+ Tem1-N|Treg-Y	GZMK+ CD8+ Tem1-Y|CD4+ Tex-N	GZMK+ CD8+ Tem1-Y|CD4+ Tex-Y	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-Y|S100A12+ Mac-N	GZMK+ CD8+ Tem1-Y|S100A12+ Mac-Y	GZMK+ CD8+ Tem1-Y|Treg-N	GZMK+ CD8+ Tem1-Y|Treg-Y	S100A12+ Mac-N|CD4+ Tex-N	S100A12+ Mac-N|CD4+ Tex-Y	S100A12+ Mac-N|GZMK+ CD8+ Tem1-N	S100A12+ Mac-N|GZMK+ CD8+ Tem1-Y	S100A12+ Mac-N|S100A12+ Mac-N	S100A12+ Mac-N|S100A12+ Mac-Y	S100A12+ Mac-N|Treg-N	S100A12+ Mac-N|Treg-Y	S100A12+ Mac-Y|CD4+ Tex-N	S100A12+ Mac-Y|CD4+ Tex-Y	S100A12+ Mac-Y|GZMK+ CD8+ Tem1-N	S100A12+ Mac-Y|GZMK+ CD8+ Tem1-Y	S100A12+ Mac-Y|S100A12+ Mac-N	S100A12+ Mac-Y|S100A12+ Mac-Y	S100A12+ Mac-Y|Treg-N	S100A12+ Mac-Y|Treg-Y	Treg-N|CD4+ Tex-N	Treg-N|CD4+ Tex-Y	Treg-N|GZMK+ CD8+ Tem1-N	Treg-N|GZMK+ CD8+ Tem1-Y	Treg-N|S100A12+ Mac-N	Treg-N|S100A12+ Mac-Y	Treg-N|Treg-N	Treg-N|Treg-Y	Treg-Y|CD4+ Tex-N	Treg-Y|CD4+ Tex-Y	Treg-Y|GZMK+ CD8+ Tem1-N	Treg-Y|GZMK+ CD8+ Tem1-Y	Treg-Y|S100A12+ Mac-N	Treg-Y|S100A12+ Mac-Y	Treg-Y|Treg-N	Treg-Y|Treg-Y
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	0.044	0.037	0.058	0.06	0.024	0.023	0.09	0.049	0.037	0.031	0.051	0.054	0.018	0.016	0.084	0.043	0.058	0.051	0.072	0.074	0.038	0.037	0.104	0.063	0.06	0.054	0.074	0.077	0.041	0.039	0.107	0.066	0.024	0.018	0.038	0.041	0.004	0.003	0.07	0.029	0.023	0.016	0.037	0.039	0.003	0.001	0.069	0.028	0.09	0.084	0.104	0.107	0.07	0.069	0.136	0.095	0.049	0.043	0.063	0.066	0.029	0.028	0.095	0.054
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.021	0.042	0.044	0.008	0.007	0.074	0.033	0.11	0.104	0.124	0.127	0.091	0.089	0.157	0.116	0.168	0.161	0.182	0.184	0.148	0.147	0.214	0.173	0.049	0.043	0.063	0.066	0.029	0.028	0.095	0.054	0.048	0.042	0.062	0.065	0.029	0.027	0.095	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.018	0.039	0.041	0.005	0.003	0.071	0.03
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	NECTIN1	NECTIN4	True	True	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.011	0.0	0.0	0.0	0.0	0.0	0.009	0.011	0.018	0.0	0.0	0.0	0.0	0.0	0.013	0.015	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.005	0.012	0.0	0.0
CPI-SS0A5DF05C0	TIGIT_NECTIN2	simple:Q495A1	simple:Q92692	TIGIT	NECTIN2	False	False	True	curated	False	1.626	1.629	0.0	1.625	1.852	1.907	0.0	1.628	1.151	1.155	0.0	1.15	1.377	1.433	0.0	1.154	0.826	0.83	0.0	0.825	1.052	1.107	0.0	0.829	0.799	0.803	0.0	0.799	1.025	1.081	0.0	0.802	0.008	0.012	0.0	0.008	0.234	0.29	0.0	0.011	0.01	0.013	0.0	0.009	0.236	0.291	0.0	0.012	3.744	3.748	0.0	3.743	3.97	4.026	0.0	3.747	2.177	2.18	0.0	2.176	2.403	2.458	0.0	2.179
CPI-SS06207F70E	CD226_NECTIN2	simple:Q15762	simple:Q92692	CD226	NECTIN2	False	True	True	curated	False	0.35	0.353	0.0	0.349	0.576	0.631	0.0	0.352	0.37	0.374	0.0	0.369	0.596	0.651	0.0	0.373	0.055	0.059	0.0	0.055	0.281	0.337	0.0	0.058	0.027	0.03	0.0	0.026	0.253	0.308	0.0	0.029	0.063	0.066	0.0	0.062	0.289	0.344	0.0	0.065	0.072	0.076	0.0	0.071	0.298	0.353	0.0	0.075	0.136	0.14	0.0	0.135	0.362	0.418	0.0	0.139	0.171	0.175	0.0	0.171	0.397	0.453	0.0	0.174
CPI-SC07ECBFCA7	COL1A1_a10b1 complex	simple:P02452	complex:a10b1 complex	COL1A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.012	0.011	0.01	0.007	0.006	0.034	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.01	0.008	0.007	0.006	0.003	0.002	0.03	0.007	0.018	0.017	0.015	0.015	0.011	0.011	0.038	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.021	0.019	0.019	0.015	0.015	0.042	0.019
CPI-SC0DA298BEC	COL2A1_a10b1 complex	simple:P02458	complex:a10b1 complex	COL2A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.006	0.002	0.001	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC067433F6B	COL3A1_a10b1 complex	simple:P02461	complex:a10b1 complex	COL3A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.013	0.011	0.011	0.007	0.007	0.034	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.023	0.022	0.021	0.02	0.017	0.016	0.044	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.034	0.033	0.032	0.029	0.028	0.056	0.033
CPI-SC0B6F1A278	COL4A1_a10b1 complex	simple:P02462	complex:a10b1 complex	COL4A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.006	0.002	0.001	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.007	0.006	0.005	0.002	0.001	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.01	0.008	0.008	0.004	0.004	0.031	0.008
CPI-SC0D19BAF15	FN1_a10b1 complex	simple:P02751	complex:a10b1 complex	FN1		True	False	False	curated	True	0.224	0.223	0.221	0.221	0.217	0.217	0.244	0.221	0.472	0.471	0.47	0.469	0.466	0.465	0.493	0.47	0.279	0.278	0.276	0.276	0.272	0.272	0.299	0.276	0.276	0.275	0.273	0.273	0.269	0.269	0.296	0.273	3.592	3.591	3.589	3.589	3.585	3.585	3.612	3.589	4.649	4.647	4.646	4.646	4.642	4.641	4.669	4.646	0.173	0.172	0.17	0.17	0.166	0.166	0.193	0.17	0.38	0.379	0.378	0.377	0.374	0.373	0.401	0.378
CPI-SC0F516B854	COL5A2_a10b1 complex	simple:P05997	complex:a10b1 complex	COL5A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.01	0.008	0.008	0.004	0.004	0.031	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.009	0.008	0.007	0.004	0.003	0.031	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC011F01833	COL1A2_a10b1 complex	simple:P08123	complex:a10b1 complex	COL1A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.012	0.011	0.01	0.007	0.006	0.034	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.018	0.017	0.016	0.015	0.012	0.011	0.039	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.023	0.022	0.021	0.018	0.017	0.045	0.022
CPI-SC0FA79E269	COL4A2_a10b1 complex	simple:P08572	complex:a10b1 complex	COL4A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.009	0.007	0.007	0.003	0.003	0.03	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.007	0.006	0.005	0.002	0.001	0.029	0.006	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC02B111AB0	COL6A1_a10b1 complex	simple:P12109	complex:a10b1 complex	COL6A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.011	0.009	0.009	0.005	0.005	0.032	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.005	0.002	0.001	0.029	0.006	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.013	0.012	0.01	0.01	0.006	0.006	0.033	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.01	0.008	0.008	0.004	0.004	0.031	0.008
CPI-SC0CE851065	COL6A2_a10b1 complex	simple:P12110	complex:a10b1 complex	COL6A2		True	False	False	curated	True	0.038	0.037	0.036	0.035	0.031	0.031	0.058	0.035	0.021	0.02	0.018	0.018	0.014	0.014	0.041	0.018	0.011	0.01	0.008	0.008	0.004	0.004	0.031	0.008	0.011	0.01	0.008	0.008	0.004	0.004	0.031	0.008	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.011	0.01	0.008	0.008	0.004	0.004	0.031	0.008	0.014	0.013	0.011	0.011	0.007	0.007	0.034	0.011	0.014	0.012	0.011	0.01	0.007	0.006	0.034	0.011
CPI-SC07375C073	COL6A3_a10b1 complex	simple:P12111	complex:a10b1 complex	COL6A3		True	False	False	curated	True	0.066	0.064	0.063	0.062	0.059	0.058	0.086	0.063	0.085	0.084	0.082	0.082	0.078	0.078	0.105	0.082	0.014	0.012	0.011	0.011	0.007	0.006	0.034	0.011	0.01	0.009	0.007	0.007	0.003	0.003	0.03	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.01	0.009	0.009	0.005	0.005	0.032	0.009	0.014	0.013	0.011	0.011	0.007	0.007	0.034	0.011	0.022	0.021	0.019	0.019	0.015	0.015	0.042	0.019
CPI-SC0D6C777F2	COL11A2_a10b1 complex	simple:P13942	complex:a10b1 complex	COL11A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.007	0.006	0.002	0.002	0.029	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.005	0.002	0.001	0.029	0.006	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.009	0.007	0.006	0.005	0.002	0.001	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC041DEF0FB	COL5A1_a10b1 complex	simple:P20908	complex:a10b1 complex	COL5A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.011	0.009	0.009	0.005	0.005	0.032	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.005	0.002	0.001	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.009	0.007	0.007	0.003	0.003	0.03	0.007	0.02	0.018	0.017	0.016	0.013	0.012	0.04	0.017	0.014	0.012	0.011	0.01	0.007	0.006	0.034	0.011
CPI-SC0C907A888	COL8A2_a10b1 complex	simple:P25067	complex:a10b1 complex	COL8A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.006	0.002	0.001	0.029	0.006	0.011	0.01	0.008	0.008	0.004	0.004	0.031	0.008	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.023	0.022	0.021	0.02	0.016	0.016	0.043	0.02	0.033	0.032	0.03	0.03	0.026	0.026	0.053	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC08B1D5269	COL5A3_a10b1 complex	simple:P25940	complex:a10b1 complex	COL5A3		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.009	0.008	0.007	0.004	0.003	0.031	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.007	0.006	0.005	0.002	0.001	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC08E75294D	COL15A1_a10b1 complex	simple:P39059	complex:a10b1 complex	COL15A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.006	0.002	0.001	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.005	0.002	0.001	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0017F527E	COL18A1_a10b1 complex	simple:P39060	complex:a10b1 complex	COL18A1		True	False	False	curated	True	0.036	0.034	0.033	0.032	0.029	0.028	0.056	0.033	0.038	0.036	0.035	0.034	0.031	0.03	0.058	0.035	0.014	0.012	0.011	0.011	0.007	0.006	0.034	0.011	0.018	0.016	0.015	0.015	0.011	0.011	0.038	0.015	0.014	0.013	0.011	0.011	0.007	0.007	0.034	0.011	0.013	0.012	0.01	0.01	0.006	0.006	0.033	0.01	0.025	0.024	0.023	0.022	0.018	0.018	0.045	0.022	0.019	0.018	0.016	0.016	0.012	0.012	0.039	0.016
CPI-SC00C0800EB	COL4A4_a10b1 complex	simple:P53420	complex:a10b1 complex	COL4A4		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.007	0.006	0.002	0.002	0.029	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.006	0.006	0.002	0.002	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
