id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	CD4+ Tex-N|CD4+ Tex-N	CD4+ Tex-N|CD4+ Tex-Y	CD4+ Tex-N|GZMK+ CD8+ Tem1-N	CD4+ Tex-N|GZMK+ CD8+ Tem1-Y	CD4+ Tex-N|SPP1+ Mac-N	CD4+ Tex-N|SPP1+ Mac-Y	CD4+ Tex-N|Treg-N	CD4+ Tex-N|Treg-Y	CD4+ Tex-Y|CD4+ Tex-N	CD4+ Tex-Y|CD4+ Tex-Y	CD4+ Tex-Y|GZMK+ CD8+ Tem1-N	CD4+ Tex-Y|GZMK+ CD8+ Tem1-Y	CD4+ Tex-Y|SPP1+ Mac-N	CD4+ Tex-Y|SPP1+ Mac-Y	CD4+ Tex-Y|Treg-N	CD4+ Tex-Y|Treg-Y	GZMK+ CD8+ Tem1-N|CD4+ Tex-N	GZMK+ CD8+ Tem1-N|CD4+ Tex-Y	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-N|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-N|SPP1+ Mac-N	GZMK+ CD8+ Tem1-N|SPP1+ Mac-Y	GZMK+ CD8+ Tem1-N|Treg-N	GZMK+ CD8+ Tem1-N|Treg-Y	GZMK+ CD8+ Tem1-Y|CD4+ Tex-N	GZMK+ CD8+ Tem1-Y|CD4+ Tex-Y	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-N	GZMK+ CD8+ Tem1-Y|GZMK+ CD8+ Tem1-Y	GZMK+ CD8+ Tem1-Y|SPP1+ Mac-N	GZMK+ CD8+ Tem1-Y|SPP1+ Mac-Y	GZMK+ CD8+ Tem1-Y|Treg-N	GZMK+ CD8+ Tem1-Y|Treg-Y	SPP1+ Mac-N|CD4+ Tex-N	SPP1+ Mac-N|CD4+ Tex-Y	SPP1+ Mac-N|GZMK+ CD8+ Tem1-N	SPP1+ Mac-N|GZMK+ CD8+ Tem1-Y	SPP1+ Mac-N|SPP1+ Mac-N	SPP1+ Mac-N|SPP1+ Mac-Y	SPP1+ Mac-N|Treg-N	SPP1+ Mac-N|Treg-Y	SPP1+ Mac-Y|CD4+ Tex-N	SPP1+ Mac-Y|CD4+ Tex-Y	SPP1+ Mac-Y|GZMK+ CD8+ Tem1-N	SPP1+ Mac-Y|GZMK+ CD8+ Tem1-Y	SPP1+ Mac-Y|SPP1+ Mac-N	SPP1+ Mac-Y|SPP1+ Mac-Y	SPP1+ Mac-Y|Treg-N	SPP1+ Mac-Y|Treg-Y	Treg-N|CD4+ Tex-N	Treg-N|CD4+ Tex-Y	Treg-N|GZMK+ CD8+ Tem1-N	Treg-N|GZMK+ CD8+ Tem1-Y	Treg-N|SPP1+ Mac-N	Treg-N|SPP1+ Mac-Y	Treg-N|Treg-N	Treg-N|Treg-Y	Treg-Y|CD4+ Tex-N	Treg-Y|CD4+ Tex-Y	Treg-Y|GZMK+ CD8+ Tem1-N	Treg-Y|GZMK+ CD8+ Tem1-Y	Treg-Y|SPP1+ Mac-N	Treg-Y|SPP1+ Mac-Y	Treg-Y|Treg-N	Treg-Y|Treg-Y
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	1.623	1.148	0.823	0.796	0.004	0.006	3.741	2.174	1.623	1.149	0.824	0.797	0.005	0.006	3.742	2.174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.624	1.149	0.824	0.797	0.005	0.007	3.742	2.175	1.663	1.188	0.863	0.837	0.044	0.046	3.781	2.214	1.662	1.187	0.862	0.835	0.043	0.045	3.78	2.213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1A060D4	PVR_NECTIN3	simple:P15151	simple:Q9NQS3	PVR	NECTIN3	True	True	False	curated	False	0.025	0.03	0.019	0.018	0.0	0.003	0.0	0.014	0.025	0.03	0.02	0.018	0.0	0.003	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.031	0.02	0.018	0.0	0.004	0.0	0.014	0.065	0.07	0.059	0.058	0.0	0.043	0.0	0.054	0.064	0.069	0.058	0.057	0.0	0.042	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	CADM1	NECTIN3	False	False	False	curated	False	0.044	0.049	0.038	0.037	0.0	0.022	0.0	0.033	0.037	0.043	0.032	0.03	0.0	0.016	0.0	0.026	0.058	0.063	0.052	0.051	0.0	0.036	0.0	0.047	0.06	0.066	0.055	0.053	0.0	0.039	0.0	0.049	0.03	0.035	0.024	0.022	0.0	0.008	0.0	0.019	0.028	0.034	0.023	0.021	0.0	0.007	0.0	0.018	0.09	0.095	0.085	0.083	0.0	0.068	0.0	0.079	0.049	0.054	0.044	0.042	0.0	0.027	0.0	0.038
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	NECTIN1	NECTIN3	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.03	0.02	0.018	0.0	0.003	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.028	0.018	0.016	0.0	0.001	0.0	0.012	0.035	0.04	0.029	0.028	0.0	0.013	0.0	0.024	0.043	0.048	0.037	0.036	0.0	0.021	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.03	0.019	0.018	0.0	0.003	0.0	0.014
CPI-SS03859E16F	TIGIT_NECTIN3	simple:Q495A1	simple:Q9NQS3	TIGIT	NECTIN3	False	False	False	curated	False	1.642	1.647	1.637	1.635	0.0	1.62	0.0	1.631	1.168	1.173	1.162	1.16	0.0	1.146	0.0	1.157	0.842	0.848	0.837	0.835	0.0	0.821	0.0	0.831	0.816	0.821	0.81	0.809	0.0	0.794	0.0	0.805	0.023	0.029	0.018	0.016	0.0	0.002	0.0	0.012	0.025	0.03	0.02	0.018	0.0	0.003	0.0	0.014	3.76	3.766	3.755	3.753	0.0	3.739	0.0	3.75	2.193	2.198	2.188	2.186	0.0	2.171	0.0	2.182
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	NECTIN2	NECTIN3	False	True	False	curated	False	0.027	0.033	0.022	0.02	0.0	0.006	0.0	0.016	0.031	0.036	0.026	0.024	0.0	0.009	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.032	0.021	0.02	0.0	0.005	0.0	0.016	0.331	0.336	0.325	0.324	0.0	0.309	0.0	0.32	0.369	0.375	0.364	0.362	0.0	0.348	0.0	0.358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.035	0.025	0.023	0.0	0.008	0.0	0.019
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	0.044	0.037	0.058	0.06	0.03	0.028	0.09	0.049	0.037	0.031	0.051	0.054	0.023	0.022	0.084	0.043	0.058	0.051	0.072	0.074	0.044	0.043	0.104	0.063	0.06	0.054	0.074	0.077	0.046	0.045	0.107	0.066	0.03	0.023	0.044	0.046	0.015	0.014	0.076	0.035	0.028	0.022	0.043	0.045	0.014	0.013	0.075	0.034	0.09	0.084	0.104	0.107	0.076	0.075	0.136	0.095	0.049	0.043	0.063	0.066	0.035	0.034	0.095	0.054
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.021	0.042	0.044	0.014	0.013	0.074	0.033	0.11	0.104	0.124	0.127	0.096	0.095	0.157	0.116	0.168	0.161	0.182	0.184	0.153	0.152	0.214	0.173	0.07	0.064	0.084	0.087	0.056	0.055	0.117	0.076	0.076	0.069	0.09	0.092	0.062	0.061	0.122	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.018	0.039	0.041	0.01	0.009	0.071	0.03
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	NECTIN1	NECTIN4	True	True	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.012	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.01	0.025	0.0	0.0	0.0	0.0	0.0	0.013	0.022	0.036	0.0	0.0	0.0	0.0	0.0	0.021	0.03	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.011	0.026	0.0	0.0
CPI-SS0A5DF05C0	TIGIT_NECTIN2	simple:Q495A1	simple:Q92692	TIGIT	NECTIN2	False	False	True	curated	False	1.626	1.629	0.0	1.625	1.929	1.968	0.0	1.628	1.151	1.155	0.0	1.15	1.454	1.493	0.0	1.154	0.826	0.83	0.0	0.825	1.129	1.168	0.0	0.829	0.799	0.803	0.0	0.799	1.103	1.141	0.0	0.802	0.007	0.01	0.0	0.006	0.31	0.349	0.0	0.01	0.009	0.012	0.0	0.008	0.312	0.351	0.0	0.011	3.744	3.748	0.0	3.743	4.047	4.086	0.0	3.747	2.177	2.18	0.0	2.176	2.48	2.519	0.0	2.179
CPI-SS06207F70E	CD226_NECTIN2	simple:Q15762	simple:Q92692	CD226	NECTIN2	False	True	True	curated	False	0.35	0.353	0.0	0.349	0.653	0.692	0.0	0.352	0.37	0.374	0.0	0.369	0.673	0.712	0.0	0.373	0.055	0.059	0.0	0.055	0.359	0.397	0.0	0.058	0.027	0.03	0.0	0.026	0.33	0.369	0.0	0.029	0.047	0.05	0.0	0.046	0.35	0.389	0.0	0.049	0.134	0.137	0.0	0.133	0.437	0.476	0.0	0.136	0.136	0.14	0.0	0.135	0.439	0.478	0.0	0.139	0.171	0.175	0.0	0.171	0.475	0.513	0.0	0.174
CPI-SC07ECBFCA7	COL1A1_a10b1 complex	simple:P02452	complex:a10b1 complex	COL1A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.012	0.011	0.01	0.008	0.008	0.034	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.006	0.006	0.003	0.004	0.029	0.006	0.01	0.009	0.007	0.007	0.004	0.005	0.03	0.007	0.015	0.014	0.013	0.012	0.01	0.01	0.035	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.021	0.019	0.019	0.016	0.017	0.042	0.019
CPI-SC0DA298BEC	COL2A1_a10b1 complex	simple:P02458	complex:a10b1 complex	COL2A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.006	0.003	0.004	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.007	0.006	0.005	0.003	0.003	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC067433F6B	COL3A1_a10b1 complex	simple:P02461	complex:a10b1 complex	COL3A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.013	0.011	0.011	0.008	0.009	0.034	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.006	0.006	0.004	0.004	0.029	0.006	0.009	0.008	0.006	0.006	0.003	0.004	0.029	0.006	0.019	0.018	0.016	0.016	0.013	0.014	0.039	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.034	0.033	0.032	0.03	0.03	0.056	0.033
CPI-SC0B6F1A278	COL4A1_a10b1 complex	simple:P02462	complex:a10b1 complex	COL4A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.006	0.003	0.004	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.007	0.006	0.005	0.003	0.003	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.01	0.008	0.008	0.005	0.006	0.031	0.008
CPI-SC0D19BAF15	FN1_a10b1 complex	simple:P02751	complex:a10b1 complex	FN1		True	False	False	curated	True	0.224	0.223	0.221	0.221	0.218	0.219	0.244	0.221	0.472	0.471	0.47	0.469	0.467	0.467	0.493	0.47	0.279	0.278	0.276	0.276	0.273	0.274	0.299	0.276	0.276	0.275	0.273	0.273	0.27	0.271	0.296	0.273	51.773	51.772	51.77	51.77	51.767	51.768	51.793	51.77	46.536	46.534	46.533	46.532	46.53	46.53	46.556	46.533	0.173	0.172	0.17	0.17	0.167	0.168	0.193	0.17	0.38	0.379	0.378	0.377	0.375	0.375	0.401	0.378
CPI-SC0F516B854	COL5A2_a10b1 complex	simple:P05997	complex:a10b1 complex	COL5A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.01	0.008	0.008	0.005	0.006	0.031	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.006	0.006	0.003	0.004	0.029	0.006	0.01	0.009	0.007	0.007	0.004	0.005	0.03	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC011F01833	COL1A2_a10b1 complex	simple:P08123	complex:a10b1 complex	COL1A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.012	0.011	0.01	0.008	0.008	0.034	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.006	0.006	0.004	0.004	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.015	0.014	0.013	0.011	0.011	0.037	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.023	0.022	0.021	0.019	0.019	0.045	0.022
CPI-SC0FA79E269	COL4A2_a10b1 complex	simple:P08572	complex:a10b1 complex	COL4A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.009	0.007	0.007	0.004	0.005	0.03	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.007	0.006	0.005	0.003	0.003	0.029	0.006	0.01	0.009	0.007	0.007	0.004	0.005	0.03	0.007	0.009	0.008	0.007	0.006	0.004	0.004	0.03	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC02B111AB0	COL6A1_a10b1 complex	simple:P12109	complex:a10b1 complex	COL6A1		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.011	0.009	0.009	0.006	0.007	0.032	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.005	0.003	0.004	0.029	0.006	0.029	0.028	0.026	0.026	0.023	0.024	0.049	0.026	0.012	0.011	0.009	0.009	0.006	0.007	0.032	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.01	0.008	0.008	0.005	0.006	0.031	0.008
CPI-SC0CE851065	COL6A2_a10b1 complex	simple:P12110	complex:a10b1 complex	COL6A2		True	False	False	curated	True	0.038	0.037	0.036	0.035	0.033	0.033	0.058	0.035	0.021	0.02	0.018	0.018	0.015	0.016	0.041	0.018	0.011	0.01	0.008	0.008	0.005	0.006	0.031	0.008	0.011	0.01	0.008	0.008	0.005	0.006	0.031	0.008	0.011	0.01	0.009	0.008	0.006	0.006	0.032	0.009	0.01	0.009	0.008	0.007	0.005	0.005	0.03	0.007	0.014	0.013	0.011	0.011	0.008	0.009	0.034	0.011	0.014	0.012	0.011	0.01	0.008	0.009	0.034	0.011
CPI-SC07375C073	COL6A3_a10b1 complex	simple:P12111	complex:a10b1 complex	COL6A3		True	False	False	curated	True	0.066	0.064	0.063	0.062	0.06	0.061	0.086	0.063	0.085	0.084	0.082	0.082	0.079	0.08	0.105	0.082	0.014	0.012	0.011	0.011	0.008	0.009	0.034	0.011	0.01	0.009	0.007	0.007	0.004	0.005	0.03	0.007	0.01	0.008	0.007	0.006	0.004	0.005	0.03	0.007	0.011	0.01	0.009	0.008	0.006	0.006	0.032	0.009	0.014	0.013	0.011	0.011	0.008	0.009	0.034	0.011	0.022	0.021	0.019	0.019	0.016	0.017	0.042	0.019
CPI-SC0D6C777F2	COL11A2_a10b1 complex	simple:P13942	complex:a10b1 complex	COL11A2		True	False	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.007	0.006	0.004	0.004	0.029	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.007	0.006	0.005	0.003	0.004	0.029	0.006	0.008	0.007	0.006	0.005	0.003	0.003	0.029	0.006	0.009	0.008	0.006	0.006	0.003	0.004	0.029	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
